dni_encriptado,grado,sede,cantera,matemática,comunicación,inglés,ciencias,dpsc,educación_física,arte,conducta,promedio,prefinal,por_curso,nra,year,nra_encoded,grade_encoded,cantera_encoded,cluster
reanyywy,noveno,rímac_santo_toribio,deportiva,15.0,8.2,11.3,10.0,12.4,18.3,18.0,16.0,13.31428571,13,desaprobado,medio,2023,1,9,0,3
rrayiwnn,sexto,carabayllo_enace,academica,18.3,18.7,16.8,19.3,17.7,18.5,18.8,18.0,18.3,18,aprobado,bajo,2023,0,6,1,1
siaania,quinto,chorrillos_universo_2,academica,16.0,18.3,16.5,18.7,16.6,18.8,18.0,18.0,17.55714286,18,aprobado,bajo,2023,0,5,1,1
dwnarne,séptimo,chorrillos_horizontes,academica,19.0,18.2,17.5,14.8,18.6,18.0,18.5,18.3,17.8,18,aprobado,bajo,2023,0,7,1,1
rryryrrn,quinto,san_miguel_la_paz_1,academica,16.0,16.7,14.5,18.0,16.5,18.0,18.0,18.0,16.81428571,17,aprobado,bajo,2023,0,5,1,0
rsywrwyw,noveno,ica,academica,15.5,17.3,17.5,18.3,17.3,18.0,18.0,18.0,17.41428571,17,aprobado,bajo,2023,0,9,1,1
rwyrdyyw,tercero,arequipa_2_-_cerro_colorado,academica,17.0,18.0,16.5,18.0,18.0,18.0,18.0,17.3,17.64285714,18,aprobado,bajo,2023,0,3,1,1
rrwaswiz,quinto,trujillo_3_-_san_isidro,academica,18.0,17.3,15.8,18.0,16.6,18.0,18.0,18.0,17.38571429,17,aprobado,bajo,2023,0,5,1,1
raiezzny,octavo,los_olivos_villa_sol,academica,16.0,16.0,17.3,14.8,18.0,18.0,18.0,18.5,16.87142857,17,aprobado,bajo,2023,0,8,1,0
nsyydznr,sexto,trujillo_3_-_san_isidro,academica,19.4,18.7,18.0,18.0,16.6,18.0,18.8,18.5,18.21428571,18,aprobado,bajo,2023,0,6,1,1
ryezeies,tercero,huancayo,academica,18.5,18.5,16.7,18.3,18.3,18.0,18.0,18.3,18.04285714,18,aprobado,bajo,2023,0,3,1,1
rieeiyin,octavo,chimbote,academica,18.0,18.0,18.0,15.9,18.2,18.0,15.0,18.0,17.3,17,aprobado,bajo,2023,0,8,1,0
nsrzryar,séptimo,arequipa_1_-_bustamante_y_rivero,academica,18.1,18.3,16.3,14.8,17.3,18.0,18.0,18.0,17.25714286,17,aprobado,bajo,2023,0,7,1,1
rwawzass,cuarto,chimbote,academica,18.0,17.7,16.5,17.0,15.8,18.0,18.5,18.0,17.35714286,17,aprobado,bajo,2023,0,4,1,1
ryzzswaa,tercero,chincha,academica,18.7,18.7,16.8,18.6,18.4,18.2,18.5,19.7,18.27142857,18,aprobado,bajo,2023,0,3,1,1
wezrwyry,quinto,arequipa_1_-_bustamante_y_rivero,academica,18.0,18.0,15.5,18.2,16.5,18.0,18.0,18.0,17.45714286,17,aprobado,bajo,2023,0,5,1,1
rwandwwz,cuarto,pucallpa_1_-_centenario,academica,18.0,17.2,17.0,18.6,15.9,18.3,19.0,18.5,17.71428571,18,aprobado,bajo,2023,0,4,1,1
naiiisne,quinto,arequipa_1_-_bustamante_y_rivero,academica,18.3,18.5,15.8,18.5,17.1,18.0,18.0,18.7,17.74285714,18,aprobado,bajo,2023,0,5,1,1
eeynzyd,sexto,surco_1_-_ambrosio,academica,15.3,18.0,16.8,16.0,16.6,18.0,18.0,18.0,16.95714286,17,aprobado,bajo,2023,0,6,1,0
iedzysn,quinto,san_miguel_la_paz_1,academica,18.0,18.2,15.5,18.0,16.5,18.2,18.0,18.5,17.48571429,17,aprobado,bajo,2023,0,5,1,1
ieiyzaz,séptimo,san_miguel_la_paz_2,academica,18.2,18.0,18.2,15.9,18.0,18.0,19.5,18.0,17.97142857,18,aprobado,bajo,2023,0,7,1,1
nsrwwwez,séptimo,tacna,academica,17.3,18.8,18.5,15.8,18.2,18.8,18.8,17.7,18.02857143,18,aprobado,bajo,2023,0,7,1,1
senains,sexto,chorrillos_universo_2,academica,18.0,18.8,15.8,18.7,16.5,18.8,18.0,18.0,17.8,18,aprobado,bajo,2023,0,6,1,1
awzwiys,sexto,smp_perú,academica,18.4,18.3,17.7,18.2,16.5,18.0,18.0,18.0,17.87142857,18,aprobado,bajo,2023,0,6,1,1
snsdenn,sexto,sjl_arabiscos,academica,18.5,18.3,17.9,16.7,16.6,18.0,18.8,19.0,17.82857143,18,aprobado,bajo,2023,0,6,1,1
neyyassd,octavo,piura_1_-_los_ejidos,academica,18.2,17.3,18.7,16.3,16.4,18.0,18.8,18.2,17.67142857,18,aprobado,bajo,2023,0,8,1,1
rrysnedz,quinto,villa_el_salvador_-_laderas_de_villa,academica,16.0,17.3,15.2,19.0,17.0,18.0,19.3,18.2,17.4,17,aprobado,bajo,2023,0,5,1,1
rrsnzdri,sexto,piura_2_-_progreso,academica,18.0,19.2,18.0,19.0,18.1,18.8,19.5,19.3,18.65714286,19,aprobado,bajo,2023,0,6,1,1
rwwrszyn,tercero,los_olivos_2_-_santa_ana,academica,18.1,18.3,15.7,18.0,18.3,18.0,18.5,18.2,17.84285714,18,aprobado,bajo,2023,0,3,1,1
rrnirzre,quinto,los_olivos_2_-_santa_ana,academica,10.0,18.0,13.3,17.3,16.5,18.0,18.3,18.0,15.91428571,16,desaprobado,medio,2023,1,5,1,0
rniwswrz,séptimo,los_olivos_2_-_santa_ana,academica,18.0,17.0,18.2,15.8,18.3,18.0,18.0,18.0,17.61428571,18,aprobado,bajo,2023,0,7,1,1
weirenys,tercero,chorrillos_la_campiña,academica,16.8,18.0,16.5,18.0,17.6,18.0,18.0,18.0,17.55714286,18,aprobado,bajo,2023,0,3,1,1
rransdss,sexto,piura_2_-_progreso,academica,14.7,18.5,9.9,18.2,17.0,18.3,18.3,18.0,16.41428571,16,desaprobado,medio,2023,1,6,1,0
awwsrze,séptimo,smp_perú,academica,17.0,18.6,16.3,15.8,18.4,18.0,18.0,18.3,17.44285714,17,aprobado,bajo,2023,0,7,1,1
rwsizswi,cuarto,huancayo,academica,18.7,18.0,16.5,18.3,16.0,18.2,18.0,18.0,17.67142857,18,aprobado,bajo,2023,0,4,1,1
eiwdardsy,octavo,villa_el_salvador_2_-_vallejo,academica,15.7,18.3,18.5,16.8,18.9,18.3,19.0,18.5,17.92857143,18,aprobado,bajo,2023,0,8,1,1
ainezrd,quinto,chorrillos_horizontes,academica,19.6,18.0,14.9,18.0,17.0,18.0,18.3,19.5,17.68571429,18,aprobado,bajo,2023,0,5,1,1
nseraasi,séptimo,cercado_1_-_sanchez_pinillos,academica,18.1,12.0,18.0,14.1,13.9,18.0,18.5,18.0,16.08571429,16,aprobado,medio,2023,1,7,1,0
rydersni,segundo,trujillo_2_-_santa,academica,17.0,18.0,16.3,18.0,18.0,18.5,18.0,17.3,17.68571429,18,aprobado,bajo,2023,0,2,1,1
ryieizrd,segundo,ate_puruchuco,academica,18.0,18.3,16.1,18.2,18.1,18.0,18.3,18.5,17.85714286,18,aprobado,bajo,2023,0,2,1,1
ridsieee,séptimo,ate_puruchuco,academica,18.6,18.2,18.0,15.8,18.0,18.0,18.0,18.0,17.8,18,aprobado,bajo,2023,0,7,1,1
rizziizs,octavo,sjl_campoy,academica,10.3,18.2,15.8,14.8,17.3,18.0,18.0,18.2,16.05714286,16,desaprobado,medio,2023,1,8,1,0
neryedzw,octavo,rímac_santo_toribio,academica,14.0,15.0,16.7,13.1,14.2,17.2,18.0,17.5,15.45714286,15,aprobado,medio,2023,1,8,1,3
rdnanswe,séptimo,los_olivos_2_-_santa_ana,academica,17.6,18.6,18.3,15.8,19.2,18.0,18.0,18.0,17.92857143,18,aprobado,bajo,2023,0,7,1,1
rrrsrnes,quinto,ate_santa_clara,academica,17.4,18.0,16.5,17.3,16.5,18.2,18.0,18.0,17.41428571,17,aprobado,bajo,2023,0,5,1,1
nsidyaii,séptimo,san_miguel_la_paz_2,academica,18.9,19.3,18.0,16.6,19.5,18.0,19.5,18.0,18.54285714,19,aprobado,bajo,2023,0,7,1,1
rwysnyww,tercero,chimbote,academica,17.3,18.0,16.7,18.0,18.0,18.0,18.0,18.0,17.71428571,18,aprobado,bajo,2023,0,3,1,1
ryeddidz,segundo,chorrillos_la_campiña,academica,18.3,18.7,15.8,19.0,19.0,18.0,18.0,18.8,18.11428571,18,aprobado,bajo,2023,0,2,1,1
rwraiady,tercero,san_miguel_la_paz_1,artística,18.0,18.0,16.3,18.0,18.0,18.0,18.5,17.3,17.82857143,18,aprobado,bajo,2023,0,3,0,1
risnynds,séptimo,villa_el_salvador_-_laderas_de_villa,academica,12.7,12.0,14.3,14.1,17.6,18.0,18.0,16.7,15.24285714,15,aprobado,medio,2023,1,7,1,3
rrizszde,sexto,ate_2_-_vitarte,academica,14.8,13.8,11.5,13.4,12.3,18.0,18.0,18.2,14.54285714,15,aprobado,alto,2023,2,6,1,3
rrrsrees,quinto,carabayllo_enace,academica,17.0,18.0,15.8,18.0,16.5,18.8,18.5,18.2,17.51428571,18,aprobado,bajo,2023,0,5,1,1
rrndirez,quinto,sjl_2_-_el_parque,academica,19.0,17.3,14.2,18.0,16.6,18.0,18.8,18.0,17.41428571,17,aprobado,bajo,2023,0,5,1,1
rdeiyeia,octavo,villa_el_salvador_2_-_vallejo,academica,17.5,15.3,16.8,16.1,18.0,18.3,18.0,18.0,17.14285714,17,aprobado,bajo,2023,0,8,1,0
rnezazin,séptimo,carabayllo_enace,academica,14.7,17.3,18.0,15.3,16.7,19.0,18.8,19.5,17.11428571,17,aprobado,bajo,2023,0,7,1,1
neryedaz,octavo,sjl_campoy,academica,18.1,17.2,15.0,13.1,18.0,18.0,18.0,18.2,16.77142857,17,aprobado,bajo,2023,0,8,1,0
riainrez,séptimo,sjl_2_-_el_parque,academica,18.5,18.4,18.7,14.8,18.1,18.5,18.0,18.2,17.85714286,18,aprobado,bajo,2023,0,7,1,1
rrnzasaz,sexto,san_miguel_la_paz_1,academica,14.0,16.7,16.5,18.0,15.8,18.0,18.0,16.0,16.71428571,17,aprobado,bajo,2023,0,6,1,0
rieyiyzd,séptimo,villa_el_salvador_2_-_vallejo,academica,18.3,17.5,18.8,16.2,17.5,18.6,18.3,18.3,17.88571429,18,aprobado,bajo,2023,0,7,1,1
rrizzynn,sexto,villa_el_salvador_2_-_vallejo,academica,16.5,19.0,16.5,18.5,16.3,19.0,18.5,18.7,17.75714286,18,aprobado,bajo,2023,0,6,1,1
rinnydzi,séptimo,sjl_campoy,academica,9.6,10.9,14.3,7.5,12.6,18.0,18.0,15.3,12.98571429,13,desaprobado,alto,2023,2,7,1,3
rrnednse,quinto,cercado_1_-_sanchez_pinillos,academica,17.5,18.2,16.5,18.0,16.6,18.0,18.5,18.2,17.61428571,18,aprobado,bajo,2023,0,5,1,1
rwdwwsyr,tercero,ate_puruchuco,academica,15.7,16.0,15.8,16.0,18.0,18.0,18.0,17.3,16.78571429,17,aprobado,bajo,2023,0,3,1,0
rnyynnnz,sexto,comas_1_-_condorcanqui,academica,9.6,18.0,16.5,18.0,16.5,18.0,18.0,19.2,16.37142857,16,desaprobado,medio,2023,1,6,1,0
rnrezina,séptimo,callao_3_-_santa_rosa,academica,18.8,18.0,18.7,15.8,18.6,18.0,18.0,18.5,17.98571429,18,aprobado,bajo,2023,0,7,1,1
rneesdii,séptimo,carabayllo_2_-_san_antonio,academica,18.7,18.0,17.8,15.8,18.2,18.5,18.8,18.3,17.97142857,18,aprobado,bajo,2023,0,7,1,1
rreyissd,sexto,sjl_4_-_el_sol,academica,17.0,18.0,16.5,18.0,16.5,18.0,18.5,18.0,17.5,18,aprobado,bajo,2023,0,6,1,1
rrwwysds,quinto,sjl_arabiscos,academica,18.5,18.2,16.5,18.0,16.5,18.3,19.8,18.0,17.97142857,18,aprobado,bajo,2023,0,5,1,1
rniyasyr,séptimo,callao_1_-_saenz_peña,academica,18.1,15.0,16.7,15.8,18.0,18.0,18.0,18.0,17.08571429,17,aprobado,bajo,2023,0,7,1,0
ryirznew,segundo,carabayllo_2_-_san_antonio,academica,19.3,19.0,16.9,19.0,18.7,18.0,18.0,18.7,18.41428571,18,aprobado,bajo,2023,0,2,1,1
rrrawrsa,quinto,san_juan_de_miraflores,academica,16.0,18.0,16.5,18.0,16.5,18.4,18.0,18.0,17.34285714,17,aprobado,bajo,2023,0,5,1,1
wezryire,quinto,arequipa_2_-_cerro_colorado,academica,18.0,18.0,15.8,18.0,16.5,18.0,18.0,18.3,17.47142857,17,aprobado,bajo,2023,0,5,1,1
