DNI ENCRIPTADO,RESPUESTAS TEXTUALES_1,RESPUESTAS TEXTUALES_2,RESPUESTAS TEXTUALES_3,RESPUESTAS TEXTUALES_4,RESPUESTAS TEXTUALES_5,RESPUESTAS TEXTUALES_6,RESPUESTAS TEXTUALES_7,RESPUESTAS TEXTUALES_8,RESPUESTAS TEXTUALES_9,RESPUESTAS TEXTUALES_10,RESPUESTAS TEXTUALES_11,RESPUESTAS TEXTUALES_12,RESPUESTAS TEXTUALES_13,RESPUESTAS TEXTUALES_14,RESPUESTAS TEXTUALES_15,RESPUESTAS TEXTUALES_16,RESPUESTAS TEXTUALES_17,RESPUESTAS TEXTUALES_18,RESPUESTAS TEXTUALES_19,RESPUESTAS TEXTUALES_20,RESPUESTAS TEXTUALES_21,RESPUESTAS TEXTUALES_22,RESPUESTAS TEXTUALES_23,RESPUESTAS TEXTUALES_24,RESPUESTAS TEXTUALES_25,RESPUESTAS TEXTUALES_26,RESPUESTAS TEXTUALES_27,RESPUESTAS TEXTUALES_28,RESPUESTAS TEXTUALES_29,RESPUESTAS TEXTUALES_30,RESPUESTA NUMERICA_1,RESPUESTA NUMERICA_2,RESPUESTA NUMERICA_3,RESPUESTA NUMERICA_4,RESPUESTA NUMERICA_5,RESPUESTA NUMERICA_6,RESPUESTA NUMERICA_7,RESPUESTA NUMERICA_8,RESPUESTA NUMERICA_9,RESPUESTA NUMERICA_10,RESPUESTA NUMERICA_11,RESPUESTA NUMERICA_12,RESPUESTA NUMERICA_13,RESPUESTA NUMERICA_14,RESPUESTA NUMERICA_15,RESPUESTA NUMERICA_16,RESPUESTA NUMERICA_17,RESPUESTA NUMERICA_18,RESPUESTA NUMERICA_19,RESPUESTA NUMERICA_20,RESPUESTA NUMERICA_21,RESPUESTA NUMERICA_22,RESPUESTA NUMERICA_23,RESPUESTA NUMERICA_24,RESPUESTA NUMERICA_25,RESPUESTA NUMERICA_26,RESPUESTA NUMERICA_27,RESPUESTA NUMERICA_28,RESPUESTA NUMERICA_29,RESPUESTA NUMERICA_30,SUM_PUNTAJES_INTRAPERSONAL,SUM_PUNTAJES_INTERPERSONALES,SUM_PUNTAJES_MANEJO_ESTRES,SUM_PUNTAJES_ADAPTABILIDAD,SUM_IMPRESION_POSITIVA,TOTAL_COC_EMOCIONAL,INTRAPERSONAL_MEDIA,INTRAPERSONAL_DESVIACION,INTERPERSONAL_MEDIA,INTERPERSONAL_DESVIACION,MANEJO_ESTRES_MEDIA,MANEJO_ESTRES_DESVIACION,ADAPTABILIDAD_MEDIA,ADAPTABILIDAD_DESVIACION,IMPRESION_POSITIVA_MEDIA,IMPRESION_POSITIVA_DESVIACION,TOTAL_COC_EMOCIONAL_MEDIA,TOTAL_COC_ECOCIONAL_DESVIACION,CONVERSION_FINAL_INTRAPERSONAL,CONVERSION_FINAL_INTEPERSONAL,CONVERSION_FINAL_MANEJO_ESTRES,CONVERSION_FINAL_APDAPTABILIDAD,CONVERSION_FINAL_IMPRESIÓN POSITIVA,CONVERSION_FINAL_TOTAL_COC_EMOC,Fecha de nacimiento de Champ,Edad de Champ,Sede de Champ,Grado de Champ,"Champ tiene alguna alergia, condición o enfermedad",Champ para talleres virtuales se puede conectar de,¿Qué tema te interesa Champ?,"¿Con quienes vives?
Por ejemplo: Con mi padres y hermanos",¿Cuáles son tus pasatiempos favoritos?  Por ejemplo: Leer y jugar videojuegos,"¿Cuáles son tus cursos favoritos?
Por ejemplo: Matemática y Comunicación","¿Cuál es tu deporte favorito?
Por ejemplo: Fútbol","¿Qué te gustaría estudiar o ser de grande?
Por ejemplo: Doctor",¿Qué te gustaría hacer para mejorar el Perú?,¿Te gustaría estudiar en una universidad extranjera?,"Cuéntanos si ganaste un reconocimiento, concurso, beca, tienes una organización o has sido voluntario/a en el 2023","En Perú Champs nos preocupa tu bienestar. ¿Hay algo que quieras compartirnos sobre algo que fue difícil en el 2023, algo que te hiciera sentir triste o frustrado/a? Este espacio es confidencial y no afecta tu beca",¿Tiene otro champ?,DNI DEL APODERADO ENCRIPTADO,Qué relación tiene con Champ,Su Champ tiene un apoderada/o adicional a Usted,¿Tienes un negocio propio o emprendimiento?,La conexión a Internet en su casa es,Tu internet es,"¿Algún familiar con el que viva tiene alguna condición, discapacidad o enfermedad crónica que requiera de cuidados constante?",Cuéntanos brevemente cómo se encuentran actualmente,¿Quién apoya a su Champ con sus tareas?,SEXO,EDAD,GRADO,SEDE,REGIÓN,ORIGEN,ESTADO,AÑO DE INGRESO,SALUD,MODALIDAD DE INGRESO,DNI PAPÁ ENCRIPTADO,DNI MAMÁ ENCRIPTADO,NRE (NIVEL DE RIESGO EMOCIONAL),CANTERA,CONDICIÓN DE SALUD,¿Qué tema te interesa Champ?_cuestionario,"¿Con quienes vives?
Por ejemplo: Con mi padres y hermanos_cuestionario",¿Cuáles son tus pasatiempos favoritos?  Por ejemplo: Leer y jugar videojuegos_cuestionario,"¿Cuáles son tus cursos favoritos?
Por ejemplo: Matemática y Comunicación_cuestionario","¿Cuál es tu deporte favorito?
Por ejemplo: Fútbol_cuestionario","¿Qué te gustaría estudiar o ser de grande?
Por ejemplo: Doctor_cuestionario",¿Qué te gustaría hacer para mejorar el Perú?_cuestionario,¿Te gustaría estudiar en una universidad extranjera?_cuestionario,"Cuéntanos si ganaste un reconocimiento, concurso, beca, tienes una organización o has sido voluntario/a en el 2023_cuestionario","En Perú Champs nos preocupa tu bienestar. ¿Hay algo que quieras compartirnos sobre algo que fue difícil en el 2023, algo que te hiciera sentir triste o frustrado/a? Este espacio es confidencial y no afecta tu beca_cuestionario",GRADO_notas,SEDE_notas,CANTERA_notas,Matemática,Comunicación,Inglés,Ciencias,Dpsc,Educación Física,Arte,Conducta,PROMEDIO,PREFINAL,POR CURSO,NRA
WEIYYYDS,A menudo,Rara Vez,Muy rara vez,Muy a menudo,A menudo,Rara Vez,Rara Vez,Rara Vez,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Muy a menudo,A menudo,A menudo,A menudo,A menudo,Rara vez,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Muy a menudo,A menudo,A menudo,3,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,14,20,13,18,15,80,14.42,3.35,19.57,3.34,17.36,3.83,17.71,4.32,16.49,3.01,69.07,8.48,98,102,83,101,93,119,2015-11-30 00:00:00,8,PUEBLO LIBRE - BERTELLO (REF. Cerca a la Huaca Mateo Salado),3ero,Asma,Celular,Acción por el clima,con mamá,leer y nadar,matemática ,natación,arquitectura,trabajar par reducir la contaminación ambiental,Sí,si,no,No,IAWSDNAY,Mamá de Champ,"No, yo soy la única persona apoderada/o",Sí,Internet propio,Estable,No,DE SALUD UN POCO MAL DE LA COLUMNA YBLOS HUESOS.,Mamá,F,8.0,Tercero,Bertello,Lima,Renovación,Matriculado,2023.0,Ninguno,Artística,ISZNZNZN,IAWSDNAY,BAJO,Artística,Asma,Acción por el clima,con mamá,leer y nadar,matemática,natación,arquitectura,trabajar par reducir la contaminación ambiental,Sí,si,no,Segundo,Bertello,Artística,18.7,18.8,17.3,19.0,18.9,18.5,19.0,18.3,18.6,19.0,APROBADO,BAJO
RYIRAAIZ,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,Rara Vez,Muy a menudo,Rara Vez,Muy rara vez,Muy rara vez,Muy a menudo,Rara vez,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy rara vez,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Rara vez,Muy a menudo,Muy rara vez,Rara vez,Rara vez,Muy rara vez,4,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,18,19,22,22,16,97,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,114,102,115,117,95,146,2015-12-22 00:00:00,8,CALLAO 1 - SAENZ PEÑA (REF. A una cuadra del Plaza Vea),3ero,Ninguno,Computadora,Reducción de las desigualdades,padres y hermanos,jugar con mis legos,Ingles y matematica,karate,dentista,recoger la basura,Sí,no,no,No,ISRSZAYA,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,No,Feliz,Mamá,M,8.0,Tercero,Callao Saenz Peña,Lima,Renovación,Matriculado,2023.0,Ninguno,Académica,IZDWDZDI,ISRSZAYA,BAJO,Académica,Ninguno,Reducción de las desigualdades,padres y hermanos,jugar con mis legos,Ingles y matematica,karate,dentista,recoger la basura,Sí,no,no,Segundo,Callao 1 - Saenz Peña,Académica,18.7,17.5,17.3,18.7,18.7,18.8,18.5,18.2,18.31428571,18.0,APROBADO,BAJO
RYIRAAIZ,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,Rara Vez,Muy a menudo,Rara Vez,Muy rara vez,Muy rara vez,Muy a menudo,Rara vez,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy rara vez,Muy a menudo,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Rara vez,Muy a menudo,Muy rara vez,Rara vez,Rara vez,Muy rara vez,4,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,18,19,22,22,16,97,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,114,102,115,117,95,146,2015-12-22 00:00:00,8,CALLAO 1 - SAENZ PEÑA (REF. A una cuadra del Plaza Vea),3ero,Ninguno,Computadora,Igualdad de género,Con mi padres y hermanos,jugar videojuegos,matematica e ingles,karate,dentista,recoger la basura,Sí,no,no,No,ISRSZAYA,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,No,bien con buena salud,Mamá,M,8.0,Tercero,Callao Saenz Peña,Lima,Renovación,Matriculado,2023.0,Ninguno,Académica,IZDWDZDI,ISRSZAYA,BAJO,Académica,Ninguno,Reducción de las desigualdades,padres y hermanos,jugar con mis legos,Ingles y matematica,karate,dentista,recoger la basura,Sí,no,no,Segundo,Callao 1 - Saenz Peña,Académica,18.7,17.5,17.3,18.7,18.7,18.8,18.5,18.2,18.31428571,18.0,APROBADO,BAJO
RYDZDEYR,Muy a menudo,Rara Vez,A menudo,A menudo,A menudo,Rara Vez,Rara Vez,Rara Vez,Rara Vez,A menudo,Rara vez,Muy rara vez,A menudo,Rara vez,Muy a menudo,A menudo,A menudo,A menudo,Rara vez,Muy a menudo,Rara vez,Rara vez,A menudo,Rara vez,Rara vez,A menudo,A menudo,Rara vez,Muy rara vez,Rara vez,4,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14,17,16,15,17,79,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,96,93,92,93,100,117,2016-02-03 00:00:00,7,CALLAO 2 - LEMOS (REF. Av. Argentina Nº 4912),3ero,Autismo,"Celular, Laptop",Acción por el clima,Con mis padres y hermano,"Jugar, ver televisión, jugar ajedrez",Matemáticas,Ajedrez,Profesor,Reducir la delincuencia,Sí,Perú Champs,Socializar fue un poco difícil,No,IINDNAYD,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,Gracias a Dios todo va muy bien.,"Mamá, Papá y hermano mayor",M,8.0,Tercero,Callao Lemos,Lima,Renovación,Matriculado,2023.0,Está en un proceso de evaluación ..para ver si tiene alguna de de estás condiciones,Académica,IEIEWEIY,IINDNAYD,BAJO,Académica,Autismo,Acción por el clima,Con mis padres y hermano,"Jugar, ver televisión, jugar ajedrez",Matemáticas,Ajedrez,Profesor,Reducir la delincuencia,Sí,Perú Champs,Socializar fue un poco difícil,Segundo,Callao 2 - Lemos,Académica,19.2,18.2,16.9,18.0,18.0,18.3,18.8,18.2,18.2,18.0,APROBADO,BAJO
RYDZDEYR,Muy a menudo,Rara Vez,A menudo,A menudo,A menudo,Rara Vez,Rara Vez,Rara Vez,Rara Vez,A menudo,Rara vez,Muy rara vez,A menudo,Rara vez,Muy a menudo,A menudo,A menudo,A menudo,Rara vez,Muy a menudo,Rara vez,Rara vez,A menudo,Rara vez,Rara vez,A menudo,A menudo,Rara vez,Muy rara vez,Rara vez,4,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14,17,16,15,17,79,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,96,93,92,93,100,117,2016-02-03 00:00:00,7,CALLAO 2 - LEMOS (REF. Av. Argentina Nº 4912),3ero,Autismo,"Celular, Computadora",Acción por el clima,Mis padres y hermano ,Ver televisión jugar ajedrez ,Matemáticas ,Ajedrez ,Ingeniero civil,Que no haiga delincuencia ,Sí,Beca Perú champs ,He mejorado mucho antes lloraba ahora ya no casi,No,IINDNAYD,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,Gracias a Dios muy bien ,Mamá,M,8.0,Tercero,Callao Lemos,Lima,Renovación,Matriculado,2023.0,Está en un proceso de evaluación ..para ver si tiene alguna de de estás condiciones,Académica,IEIEWEIY,IINDNAYD,BAJO,Académica,Autismo,Acción por el clima,Con mis padres y hermano,"Jugar, ver televisión, jugar ajedrez",Matemáticas,Ajedrez,Profesor,Reducir la delincuencia,Sí,Perú Champs,Socializar fue un poco difícil,Segundo,Callao 2 - Lemos,Académica,19.2,18.2,16.9,18.0,18.0,18.3,18.8,18.2,18.2,18.0,APROBADO,BAJO
RYDZDEYR,Muy a menudo,Rara Vez,A menudo,A menudo,A menudo,Rara Vez,Rara Vez,Rara Vez,Rara Vez,A menudo,Rara vez,Muy rara vez,A menudo,Rara vez,Muy a menudo,A menudo,A menudo,A menudo,Rara vez,Muy a menudo,Rara vez,Rara vez,A menudo,Rara vez,Rara vez,A menudo,A menudo,Rara vez,Muy rara vez,Rara vez,4,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14,17,16,15,17,79,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,96,93,92,93,100,117,2016-02-03 00:00:00,8,CALLAO 2 - LEMOS (REF. Av. Argentina Nº 4912),3ero,Autismo,"Celular, Laptop",Acción por el clima,Papa .mamá y hermano ,Jugar ajedrez ver televisión y jugar en el celular ,Matemáticas ,Ajedrez ,Profesor ,Combatir la delincuencia ,Sí,Beca Perú champs ,Me frustraba pero como ya estoy en terapia ya se controlarme ,No,IINDNAYD,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,Gracias a Dios bien ,Mamá .hermano .papá ,M,8.0,Tercero,Callao Lemos,Lima,Renovación,Matriculado,2023.0,Está en un proceso de evaluación ..para ver si tiene alguna de de estás condiciones,Académica,IEIEWEIY,IINDNAYD,BAJO,Académica,Autismo,Acción por el clima,Con mis padres y hermano,"Jugar, ver televisión, jugar ajedrez",Matemáticas,Ajedrez,Profesor,Reducir la delincuencia,Sí,Perú Champs,Socializar fue un poco difícil,Segundo,Callao 2 - Lemos,Académica,19.2,18.2,16.9,18.0,18.0,18.3,18.8,18.2,18.2,18.0,APROBADO,BAJO
RYSSDWIE,A menudo,Rara Vez,Muy a menudo,A menudo,Rara Vez,Muy a menudo,Muy a menudo,Rara Vez,Muy rara vez,Muy a menudo,Rara vez,Rara vez,A menudo,A menudo,Muy a menudo,A menudo,Rara vez,Muy a menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy rara vez,Rara vez,Muy rara vez,A menudo,Rara vez,A menudo,3,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,18,20,20,22,18,98,14.42,3.35,19.57,3.34,17.36,3.83,17.71,4.32,16.49,3.01,69.07,8.48,116,102,110,115,108,151,2015-07-30 00:00:00,8,COMAS 1 - CONDORCANQUI (REF. Una cdra. antes de la Granja Villa Norte),3ero,"A veces le sangra la nariz, Rinitis Alergica, Hiperlaxa, Hipotonía y Mal oclusión Clase III esquelética , Retrusión del maxilar superior.",Computadora,Acción por el clima,con mis padres y hermano,"Hacer Gimnasia, leer, armar figuras con Hamma Beads, Dibujar","Matemática, Ciencia, Proyecto, Arte, Educación Física, Inglés y Comunicación.",Gimnasia aeróbica,Ingeniera,"acabar con la delincuencia, aumentando la protección en los distritos y trabajar en la rehabilitación de los delincuentes.",Sí,"Gané un reconocimiento por participar en el Half Day del Programa de Liderazgo, Por participar en el Campamento de Verano de Gimnasia Aeróbica Febrero 2023, Me dieron un reconocimiento de mi clase de Inglés","me siento un poquito triste de que mis padres no puedan mandarme a hacer mi aparato corrector de mi encía superior, lo que hace que mis dientes estén chuequitos y mi nariz no está en su lugar y me da pena sonreír.",No,ZYWRDZWE,Mamá de Champ,"Sí, tiene otra/o apoderada/o",Sí,Internet propio,Estable,Sí,"Tenemos un tio el cual, está viviendo hace un mes con nosotros, ya que es soltero y vivia solo, le acaba de dar un infarto cerebral y está en proceso de recuperación, aun no cotrola los esfínteres, tiene lagunas mentales, le ayudamos con su terapias físicas, ya que está rigido, necesita que lo ayudemos con la toma de sus pastillas, ya que se atora con los líquidos y su caminar necesita supervisión, se va hacia la derecha, no tiene estabilidad.",Mamá,F,8.0,Tercero,Comas El Retablo,Lima,Renovación,Matriculado,2023.0,"Rinitis Alérgica, Hipotónica e Hiperlaxa",Académica,EWEWSNIW,YWRDZWE,BAJO,Académica,"A veces le sangra la nariz, Rinitis Alergica, Hiperlaxa, Hipotonía y Mal oclusión Clase III esquelética , Retrusión del maxilar superior.",Acción por el clima,con mis padres y hermano,"Hacer Gimnasia, leer, armar figuras con Hamma Beads, Dibujar","Matemática, Ciencia, Proyecto, Arte, Educación Física, Inglés y Comunicación.",Gimnasia aeróbica,Ingeniera,"acabar con la delincuencia, aumentando la protección en los distritos y trabajar en la rehabilitación de los delincuentes.",Sí,"Gané un reconocimiento por participar en el Half Day del Programa de Liderazgo, Por participar en el Campamento de Verano de Gimnasia Aeróbica Febrero 2023, Me dieron un reconocimiento de mi clase de Inglés","me siento un poquito triste de que mis padres no puedan mandarme a hacer mi aparato corrector de mi encía superior, lo que hace que mis dientes estén chuequitos y mi nariz no está en su lugar y me da pena sonreír.",Segundo,Comas 1 - Condorcanqui,Académica,18.5,18.0,17.3,19.0,18.0,18.0,18.5,19.7,18.18571429,18.0,APROBADO,BAJO
RYSSDWIE,A menudo,Rara Vez,Muy a menudo,A menudo,Rara Vez,Muy a menudo,Muy a menudo,Rara Vez,Muy rara vez,Muy a menudo,Rara vez,Rara vez,A menudo,A menudo,Muy a menudo,A menudo,Rara vez,Muy a menudo,Muy a menudo,A menudo,A menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy rara vez,Rara vez,Muy rara vez,A menudo,Rara vez,A menudo,3,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,18,20,20,22,18,98,14.42,3.35,19.57,3.34,17.36,3.83,17.71,4.32,16.49,3.01,69.07,8.48,116,102,110,115,108,151,2015-07-30 00:00:00,8,COMAS 1 - CONDORCANQUI (REF. Una cdra. antes de la Granja Villa Norte),3ero,"A veces le sangra la nariz, Mal oclusión Clase III esqueletica, Retrusión del maxilar superior, Hiper laxitud y Hipotonía",Computadora,Acción por el clima,Con mis padres y hermano,"Leer, Hacer figuras con Hamma Beads, cantar, bailar y hacer gimnasia","Matemática, Ciencia, comunicación, Inglés, Arte, Educación física, Proyecto",Gimnasia Aeróbica,Ingeniería,"Acabar con la delincuencia, poner más seguridad en los distritos y trabajar en la rehabilitación de los delincuentes.",Sí,"Si, gané un reconocimiento por participar en el Half Day del Programa de Liderazgo 2023, Por participar en el campamento de verano de Gimnasia Aeróbica, organizado por el Club deportivo Valuci y he recibido un reconocimiento (certificado)en mi clase de Inglés ","me pone un poco triste que no puedan mandarme a hacer el aparato para mejorar mi maxilar, ya que mis dientes están creciendo chuequitos y mi nariz está un poco chata. se que mis padres se esfuerzan mucho y quieren lo mejor para mi, en algún momento lo podremos hacer.",No,ZYWRDZWE,Mamá de Champ,"Sí, tiene otra/o apoderada/o",Sí,Internet propio,Estable,Sí,"Tenemos en casa a mi tío Julio César, quien hace 1 mes ha sufrido un infarto cerebral, quien vive solo y es soltero, por lo que tuvimos que traerlo a vivir con nosotros. El Infarto cerebral lo dejó con secuelas como la incontinencia, no controla esfínteres, tiene lagunas mentales, hinchazón de pies, pierde el equilibrio al caminar y se va para el lado derecho, necesita tomar medicina 3 veces al día con ayuda, ya que aun se atora tomando líquidos, hago sus terapias con el, se alimenta con dificultad, ya que tiene rigidez muscular como secuela , todo lo hace con supervisión etc.",Mamá,F,8.0,Tercero,Comas El Retablo,Lima,Renovación,Matriculado,2023.0,"Rinitis Alérgica, Hipotónica e Hiperlaxa",Académica,EWEWSNIW,YWRDZWE,BAJO,Académica,"A veces le sangra la nariz, Rinitis Alergica, Hiperlaxa, Hipotonía y Mal oclusión Clase III esquelética , Retrusión del maxilar superior.",Acción por el clima,con mis padres y hermano,"Hacer Gimnasia, leer, armar figuras con Hamma Beads, Dibujar","Matemática, Ciencia, Proyecto, Arte, Educación Física, Inglés y Comunicación.",Gimnasia aeróbica,Ingeniera,"acabar con la delincuencia, aumentando la protección en los distritos y trabajar en la rehabilitación de los delincuentes.",Sí,"Gané un reconocimiento por participar en el Half Day del Programa de Liderazgo, Por participar en el Campamento de Verano de Gimnasia Aeróbica Febrero 2023, Me dieron un reconocimiento de mi clase de Inglés","me siento un poquito triste de que mis padres no puedan mandarme a hacer mi aparato corrector de mi encía superior, lo que hace que mis dientes estén chuequitos y mi nariz no está en su lugar y me da pena sonreír.",Segundo,Comas 1 - Condorcanqui,Académica,18.5,18.0,17.3,19.0,18.0,18.0,18.5,19.7,18.18571429,18.0,APROBADO,BAJO
RYIIWINN,A menudo,Rara Vez,A menudo,Muy a menudo,Rara Vez,Rara Vez,A menudo,Muy rara vez,Muy rara vez,A menudo,A menudo,Muy a menudo,A menudo,Rara vez,A menudo,A menudo,Muy rara vez,A menudo,A menudo,Muy rara vez,Rara vez,Muy a menudo,A menudo,A menudo,A menudo,Rara vez,Muy rara vez,A menudo,Muy rara vez,A menudo,3,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,12,19,23,19,16,89,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,87,102,118,107,95,133,2015-12-20 00:00:00,8,CARABAYLLO 1 - ENACE (REF. Mercado La Frontera),3ero,Ninguno,"Celular, Laptop",Salud y bienestar,"ABUELITOS MATERNOS, MAMA Y HERMANO","LEER, CONSTRUIR LEGOS Y JUGAR ","INGLES, CIENCIA, MATEMATICA Y DPSC",BADMINTON Y TAEKONDO,ROBOTICA,MEJORAR LA SEGURIDAD CIUDADANA,Sí,"BECA CHAMPS, RECONOCIMIENTO DE INGLES",0,No,IIZEDWAN,Mamá de Champ,"No, yo soy la única persona apoderada/o",No,Internet propio,Estable,No,0,Mamá,M,8.0,Tercero,Carabayllo Enace,Lima,Renovación,Matriculado,2023.0,Ninguno,Académica,EZRRWEDS,IIZEDWAN,BAJO,Académica,Ninguno,Salud y bienestar,"ABUELITOS MATERNOS, MAMA Y HERMANO","LEER, CONSTRUIR LEGOS Y JUGAR","INGLES, CIENCIA, MATEMATICA Y DPSC",BADMINTON Y TAEKONDO,ROBOTICA,MEJORAR LA SEGURIDAD CIUDADANA,Sí,"BECA CHAMPS, RECONOCIMIENTO DE INGLES",0,Segundo,Carabayllo Enace,Académica,18.3,18.3,17.1,18.0,18.0,18.0,18.3,18.0,18.0,18.0,APROBADO,BAJO
RYDZAWZD,A menudo,Muy a menudo,Rara Vez,Muy a menudo,Rara Vez,A menudo,Muy a menudo,Muy rara vez,Muy rara vez,Muy a menudo,Rara vez,A menudo,Muy a menudo,A menudo,Muy a menudo,Muy a menudo,Muy rara vez,Muy a menudo,Muy a menudo,Rara vez,Muy rara vez,Muy a menudo,Muy a menudo,Muy a menudo,Rara vez,Muy a menudo,Muy rara vez,Muy a menudo,Muy rara vez,Muy a menudo,3,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,14,23,23,24,16,100,14.85,3.33,18.61,3.71,18.07,4.01,17.08,4.28,17.04,3.16,68.82,9.18,96,118,118,124,95,151,2016-01-18 00:00:00,8,CARABAYLLO 1 - ENACE (REF. Mercado La Frontera),3ero,Ninguno,Celular,Acción por el clima,Con mis padres y mi hermano ,Leer y jugar fútbol ,"Matemáticas, comunicación y arte",Fútbol ,Ingeniero de sistemas ,Reducir la contaminación ambiental ,Sí,Reconocimiento y voluntariado ,"No,todo fué espectacular ",No,WEZYDWZY,Mamá de Champ,"Sí, tiene otra/o apoderada/o",No,Internet propio,Estable,No,Gracias a Dios  estamos muy bien ,Papá y mamá,M,8.0,Tercero,Carabayllo Enace,Lima,Renovación,Matriculado,2023.0,Ninguno,Empresa (Académica),ININZZSS,REZZDWZY,BAJO,Empresa (Académica),Ninguno,Acción por el clima,Con mis padres y mi hermano,Leer y jugar fútbol,"Matemáticas, comunicación y arte",Fútbol,Ingeniero de sistemas,Reducir la contaminación ambiental,Sí,Reconocimiento y voluntariado,"No,todo fué espectacular",Segundo,Carabayllo Enace,Empresa,18.3,18.3,15.8,18.2,18.0,18.0,18.3,18.2,17.84285714,18.0,APROBADO,BAJO
